nom_de_la_station;nom_de_la_ligne;stop_lon;stop_lat;pollution_air
Serge Gainsbourg;Métro 11;2.4271621685895237;48.88125303440166;
Sevran - Livry;RER B;2.5352889927291447;48.93640164880271;0.25
Strasbourg - Saint-Denis;Métro 9;2.3537315826731833;48.869349679171926;0.75
Tuileries;Métro 1;2.3296780947116416;48.864477839314645;0.5
Val de Fontenay;RER A;2.4890536307751616;48.85424654032024;0.75
Vavin;Métro 4;2.3288628540691043;48.84205232329236;0.5
Versailles Chantiers;RER C;2.1349078603373464;48.79526039893613;0.25
Villeneuve Triage;RER D;2.438697833840877;48.744611139140474;0.25
Villeneuve-Saint-Georges;RER D;2.446304786739812;48.730080267741016;0.25
Villeparisis - Mitry-le-Neuf;RER B;2.603220561532749;48.95316214687084;0.25
Villiers;Métro 3;2.315815092646378;48.88107318307563;0.75
Vincennes;RER A;2.4325836014183;48.84734683460296;0.75
Viry-Châtillon;RER D;2.387021960013403;48.67590783936994;0.25
Yerres;RER D;2.483187005163047;48.7064507273249;0.25
Abbesses;Métro 12;2.338394635220906;48.884392717991425;0.5
Aimé Césaire;Métro 12;2.37813084516706;48.90843758066954;0.5
Athis-Mons;RER C;2.403668724287269;48.71266832171659;0.25
Barbès - Rochechouart;Métro 4;2.349629927853002;48.883402060486226;0.5
Bastille;Métro 1;2.368692796099789;48.85196422011205;0.75
Belleville;Métro 11;2.376684607718542;48.87198955568015;0.75
Belleville;Métro 2;2.3768306915222848;48.872314077361665;1.0
Bérault;Métro 1;2.4292278831660283;48.845491696267075;0.5
Bièvres;RER C;2.2161603396773564;48.75087243760775;0.25
Bonne Nouvelle;Métro 8;2.348496122542364;48.87048144580479;0.75
Boulogne Pont de Saint-Cloud;Métro 10;2.2283125898228056;48.84067248206251;0.75
Boutigny;RER D;2.3767454804181263;48.43442542513416;0.25
Brétigny;RER C;2.3019573828860596;48.60664906621052;0.25
Brunoy;RER D;2.5068503123113692;48.698914475306886;0.25
Bures-sur-Yvette;RER B;2.1643461393269345;48.69621022314541;0.25
Charenton - Ecoles;Métro 8;2.413847237068526;48.82125590204953;0.75
Charles de Gaulle - Etoile;Métro 1;2.2951172138230334;48.87392926445533;0.5
Charles Michels;Métro 10;2.2856243417995747;48.84636172348247;0.75
Chaussée d'Antin - La Fayette;Métro 9;2.333970457594147;48.87280723715393;0.75
Chaussée d'Antin - La Fayette;Métro 7;2.3337385944087012;48.87313420577469;0.75
Cité Universitaire;RER B;2.3388576809777035;48.82150600684166;0.25
Couronnes;Métro 2;2.3805336747351005;48.86932051914457;0.75
Créteil - Université;Métro 8;2.4505697455342568;48.78994285432577;0.25
Créteil Pompadour;RER D;2.435315840251248;48.771254072297346;0.25
Croix de Chavaux;Métro 9;2.4358546126745826;48.857992585158016;0.75
Daumesnil;Métro 6;2.3961460679154514;48.839537421644565;0.75
Denfert-Rochereau;Métro 6;2.332803776289825;48.83424986732888;0.75
Denfert-Rochereau;Métro 4;2.3321281604376116;48.83392232305997;0.5
Dourdan la Forêt;RER C;1.996005688002604;48.53542058733677;0.25
Dugommier;Métro 6;2.3895997700798097;48.83903652832887;0.75
Duroc;Métro 13;2.316535081176305;48.84699198555429;0.75
Ecole Militaire;Métro 8;2.3064410394306907;48.854861755122315;0.5
Edgar Quinet;Métro 6;2.3253749636089105;48.84098044632817;0.75
Eglise d'Auteuil;Métro 10;2.2691113890218917;48.84714336145718;0.75
Epinay-sur-Seine;RER C;2.302388375122374;48.95382604164122;0.25
Ermont - Eaubonne;RER C;2.2707541014797794;48.98049890628609;0.25
Fontaine Michalon;RER B;2.2959559818374013;48.74304953436299;0.25
Franklin D. Roosevelt;Métro 9;2.309488192337113;48.86872488799857;0.75
Front Populaire;Métro 12;2.3657920239894126;48.90666420278779;0.75
Gabriel Péri;Métro 13;2.29460408001733;48.916347418146714;0.75
Gaîté;Métro 13;2.3223539967788067;48.83852608502253;0.5
Gare d'Austerlitz;RER C;2.367818767583529;48.84032035638395;0.75
Gare de l'Est;Métro 5;2.35806459441865;48.87616299446643;0.75
Gare du Nord;Métro 5;2.357342884924845;48.87968001223662;0.75
Grands Boulevards;Métro 8;2.342839648636545;48.87146677844407;0.75
Hoche;Métro 5;2.403114154894396;48.891495749437304;0.75
Iéna;Métro 9;2.293906396859107;48.864685839288676;1.0
Jacques Bonsergent;Métro 5;2.3611315892483544;48.870666468034706;0.75
Jasmin;Métro 9;2.268219083521012;48.852462147844555;0.75
La Croix de Berny;RER B;2.3042107053612133;48.76171816323692;0.25
La Ferté-Alais;RER D;2.352260197381972;48.4855007310595;0.25
La Tour-Maubourg;Métro 8;2.3105887898739876;48.85766922956403;0.5
Le Blanc-Mesnil;RER B;2.4753884360764298;48.93230698220945;0.25
Le Guichet;RER B;2.1929739951487424;48.705497380193584;0.25
Le Peletier;Métro 7;2.340206459456337;48.874851793670715;0.5
Le Plessis Chenet;RER D;2.4795222910084975;48.57358727886637;0.25
Le Raincy - Villemomble - Montfermeil;RER E;2.5130610056844116;48.8888544132907;0.25
Ledru-Rollin;Métro 8;2.3761412233185926;48.85133776679838;0.75
Les Gobelins;Métro 7;2.3525311653622043;48.83589170669027;0.75
Les Sablons;Métro 1;2.271904762259129;48.88129083793358;0.75
Luxembourg;RER B;2.3398088878203698;48.84543177842458;0.75
Mabillon;Métro 10;2.335142819346476;48.85284373829949;0.5
Madeleine;Métro 12;2.325169929034193;48.87003294090397;0.5
Mairie d'Issy;Métro 12;2.273558168023932;48.82434428766646;0.75
Maison Blanche;Métro 7;2.358412946155939;48.82214950607496;0.75
Maisons-Alfort - Alfortville;RER D;2.4264376603578035;48.80217813521484;0.25
Maisons-Alfort - Stade;Métro 8;2.434819533389365;48.80891847848263;0.75
Massy - Palaiseau;RER B;2.2587677282577334;48.72551907437078;0.25
Mennecy;RER D;2.4319348900260658;48.57054850948166;0.25
Michel-Ange - Auteuil;Métro 10;2.263989525333329;48.84797535417627;0.75
Michel-Ange - Molitor;Métro 9;2.261631583355701;48.844880488259605;1.0
Montgallet;Métro 8;2.3904000136353645;48.84400507570895;0.5
Moulin Galant;RER D;2.473444919964576;48.58688228073328;0.25
Nation;Métro 6;2.3958598043279085;48.84789550545761;0.75
Nation;Métro 2;2.3957988351125254;48.84845279707999;0.75
Nogent - Le Perreux;RER E;2.4939549579206104;48.839991175687295;0.25
Nogent-sur-Marne;RER A;2.471683791180998;48.834306538503405;0.5
Noisy - Champs;RER A;2.580103342831972;48.84289619599068;0.25
Notre-Dame-de-Lorette;Métro 12;2.3379007718233322;48.87604417483004;0.75
Opéra;Métro 7;2.3324387808144875;48.87030303390994;0.5
Orly Ville;RER C;2.4030548924063897;48.74163230680523;0.25
Palaiseau;RER B;2.24558429554376;48.71686524330362;0.25
Parmentier;Métro 3;2.3747205969196896;48.86524326053047;0.75
Pernety;Métro 13;2.318323659736018;48.83416372097089;0.5
Pigalle;Métro 12;2.3371840091053384;48.882011788411084;0.75
Place d'Italie;Métro 7;2.355330902236442;48.83154938471729;0.75
Poissy;RER A;2.040804469960689;48.93324983956547;0.25
Pont Neuf;Métro 7;2.341776749148542;48.85854633926832;0.5
Porte Dauphine;Métro 2;2.2776327175452717;48.871396795248316;0.75
Porte de la Villette;Métro 7;2.385869033143345;48.89780269235572;0.75
Porte de Saint-Ouen;Métro 13;2.3290483407446505;48.89749783732745;0.5
Porte Dorée;Métro 8;2.405749381400099;48.8350662204656;0.75
Pyramides;Métro 14;2.3346236060049232;48.865755527376756;0.5
Quai de la Gare;Métro 6;2.372766248948172;48.8370742706096;0.25
Raspail;Métro 6;2.3304144712354793;48.8390661288004;0.75
Réaumur - Sébastopol;Métro 3;2.3520239377964742;48.86628268363084;0.75
République;Métro 3;2.3643332975454276;48.86720306822776;0.75
République;Métro 8;2.363149406900382;48.86742161002706;0.75
République;Métro 11;2.3648796725347783;48.86788497134881;0.75
Riquet;Métro 7;2.3737641527012556;48.88810829453359;0.5
Ris-Orangis;RER D;2.414997460834355;48.659057463386254;0.25
Robinson;RER B;2.281364769669608;48.78023982792202;0.25
Roissy-en-Brie;RER E;2.650530702348584;48.79563367624288;0.25
Romainville-Carnot;Métro 11;2.4406774445901713;48.883574237927014;
Rue de la Pompe;Métro 9;2.2778858979590564;48.863951708879945;0.75
Saint-Denis - Pleyel;Métro 14;2.345886129823062;48.91873375567987;
Saint-Jacques;Métro 6;2.337154370925007;48.832916006219165;0.25
Saint-Marcel;Métro 5;2.3608176665940044;48.83847698406796;0.75
Saint-Michel;Métro 4;2.343991799033288;48.85359407756809;0.5
Saint-Sébastien - Froissart;Métro 8;2.367370357789606;48.86098670797991;0.5
Sèvres - Babylone;Métro 12;2.326859663121737;48.85156530639137;0.75
Simplon;Métro 4;2.347794968187123;48.8938152613519;0.5
Stalingrad;Métro 5;2.367348121277192;48.8841445128949;0.75
Strasbourg - Saint-Denis;Métro 8;2.353744768129407;48.86938572399119;0.75
Sucy - Bonneuil;RER A;2.5074994611650823;48.77206393780998;0.25
Télégraphe;Métro 11;2.3986480899605933;48.87551038418075;0.75
Temple;Métro 3;2.3615893783321895;48.86668483219092;0.75
Ternes;Métro 2;2.2981136521983068;48.8782007528283;0.75
Torcy;RER A;2.655169106193295;48.83971015133779;0.25
Tournan;RER E;2.7589013341652717;48.739445157221006;0.25
Trocadéro;Métro 9;2.28683987979629;48.863088061116;1.0
Vaires - Torcy;RER E;2.637705554664271;48.87517306494243;0.25
Versailles Château Rive Gauche;RER C;2.130150772175517;48.79991350059487;0.25
Villabé;RER D;2.461533386360794;48.592814943454;0.25
Villeneuve-le-Roi;RER C;2.426423645047488;48.73968685807613;0.25
Villepinte;RER B;2.512783848981341;48.96256540760733;0.25
Viroflay Rive Gauche;RER C;2.17158260741522;48.800665521455045;0.25
Achères Grand Cormier;RER A;2.0936529195192275;48.95541092942684;0.25
Achères Ville;RER A;2.0777265246565433;48.970643570814424;0.25
Aéroport CDG 1 (Terminal 3) - RER;RER B;2.5614121946317394;49.00979397116337;0.75
Aéroport Charles de Gaulle 2 (Terminal 2);RER B;2.5709800477570233;49.0041455478504;0.25
Alma - Marceau;Métro 9;2.3011043523926706;48.86464714790582;0.75
Arcueil - Cachan;RER B;2.328093276131277;48.79869767228883;0.25
Avenue du Président Kennedy Maison de Radio France;RER C;2.279679454187814;48.85352548506894;0.5
Avenue Henri Martin;RER C;2.2722351438875577;48.86545537297977;0.5
Bibliothèque François Mitterrand;RER C;2.377758552865005;48.8288801225864;0.5
Bir-Hakeim;Métro 6;2.2894007376345997;48.85392536837598;0.25
Blanche;Métro 2;2.3324843754343627;48.88376635447715;0.75
Boissière;Métro 6;2.2900328376074373;48.8668483434173;0.75
Bonne Nouvelle;Métro 9;2.348428667867017;48.87049007203075;0.75
Botzaris;Métro 7B;2.388900951315739;48.879534991268365;0.75
Boulainvilliers;RER C;2.274806827480264;48.856981095562965;0.75
Boulogne Jean Jaurès;Métro 10;2.239077780728926;48.841991575324506;0.75
Bouray;RER C;2.2900778137432436;48.53290340283496;0.25
Boussy-Saint-Antoine;RER D;2.533195809235637;48.68087387117553;0.25
Buno - Gironville;RER D;2.3872541083159335;48.37149489082515;0.25
Cambronne;Métro 6;2.3029417283376117;48.84754311219352;0.25
Carrefour Pleyel;Métro 13;2.3435346741834655;48.919732608049756;0.5
Cergy le Haut;RER A;2.011579068023536;49.04823262405815;0.75
Cergy Saint-Christophe;RER A;2.0345219282999176;49.049642166828754;0.25
Cesson;RER D;2.5946150549367304;48.56486314053174;0.25
Chardon Lagache;Métro 10;2.26690547594029;48.84508829917885;0.5
Château Landon;Métro 7;2.3620179355106075;48.87844145573239;0.75
Châtelet;Métro 4;2.3466414308440138;48.859661211559086;0.75
Châtelet;Métro 11;2.3478374055687867;48.85776111354502;0.75
Chatou - Croissy;RER A;2.1559376624708975;48.88519702561107;0.25
Chevaleret;Métro 6;2.3680951237726693;48.83494516788824;0.25
Cluny - La Sorbonne;Métro 10;2.3450218824744566;48.850793731720536;0.75
Concorde;Métro 1;2.3229614457982586;48.866557992949716;0.5
Corentin Celton;Métro 12;2.2789586605256367;48.826823295159116;0.75
Corvisart;Métro 6;2.350611225926166;48.82986001331238;0.25
Cour Saint-Emilion;Métro 14;2.386617850214058;48.833319303843425;0.5
Courcelles;Métro 2;2.3032943624252122;48.87926525411311;0.75
Daumesnil;Métro 8;2.395573606140371;48.83967393140864;0.75
Dupleix;Métro 6;2.293663726731039;48.8504116258067;0.25
Duroc;Métro 10;2.3162247549746047;48.84675637808778;0.75
Egly;RER C;2.2234625238542307;48.582715781664064;0.25
Emerainville - Pontault-Combault;RER E;2.618502939849115;48.80587944608123;0.25
Epinay-sur-Orge;RER C;2.332043500451718;48.6693475106473;0.25
Esplanade de la Défense;Métro 1;2.249931086743073;48.88834989394862;0.75
Europe;Métro 3;2.32218591952051;48.87875316404477;0.5
Faidherbe - Chaligny;Métro 8;2.384072471688875;48.850200705509266;0.5
Falguière;Métro 12;2.317551235617027;48.844317683534335;0.75
Fontenay-sous-Bois;RER A;2.463537806527943;48.8437885964859;0.25
Franconville - Le Plessis-Bouchard;RER C;2.2341907839306554;48.99374640051787;0.25
Gallieni;Métro 3;2.415921484287642;48.86539746068654;0.5
Gambetta;Métro 3;2.3973588775666475;48.86497267606974;0.75
Gare de l'Est;Métro 4;2.3577495818204395;48.87627821831841;0.5
Goncourt;Métro 11;2.3707644347484003;48.8700070178386;0.75
Grands Boulevards;Métro 9;2.3432202183423976;48.871558801223806;0.75
Grigny Centre;RER D;2.39678605544789;48.65484195083382;0.75
Igny;RER C;2.230807643224045;48.74084886110891;0.25
Javel;RER C;2.27803679359566;48.84716158046345;0.25
Jussieu;Métro 7;2.354798309820857;48.84596333903808;0.75
La Courneuve - 8 Mai 1945;Métro 7;2.4102214036405085;48.92024579662936;0.75
La Motte-Picquet - Grenelle;Métro 10;2.298684579816939;48.849532805857095;0.5
La Motte-Picquet - Grenelle;Métro 8;2.298745444388579;48.84950618174656;0.5
Lamarck - Caulaincourt;Métro 12;2.3385838243831936;48.88968180996681;0.5
Le Bras de Fer;RER D;2.4520047548737254;48.623306397197155;0.75
Le Coudray-Montceaux;RER D;2.492424499497774;48.56619819315809;0.25
Le Parc de Saint-Maur;RER A;2.486623744135692;48.8054097518155;0.25
Le Vert de Maisons;RER D;2.4321242678299977;48.78883131123265;0.25
Les Grésillons;RER C;2.313901968217972;48.9206901983449;0.25
Liberté;Métro 8;2.406409459132366;48.82608032193611;0.75
Lieusaint - Moissy;RER D;2.569507070898012;48.62833648393033;0.25
Louis Blanc;Métro 7;2.3643562491890786;48.88124182075271;0.75
Louise Michel;Métro 3;2.2882778490679767;48.88853900119613;0.75
Maison Blanche;Métro 14;2.3589182598590392;48.82120786862075;
Malesherbes;RER D;2.4010364417288774;48.293633291470464;0.25
Marne-la-Vallée Chessy;RER A;2.7824826512673546;48.86979506673141;0.25
Meudon Val Fleury;RER C;2.2409419171683633;48.807552358196936;0.25
Miromesnil;Métro 13;2.3160106931210245;48.87344791579522;0.5
Montparnasse Bienvenue;Métro 12;2.32392211008296;48.84374228942691;0.75
Nanterre Préfecture;RER A;2.2229862429913676;48.895886773064674;0.75
Nanterre Université;RER A;2.213536495127317;48.90112974604822;0.25
Nation;RER A;2.3959444654495297;48.84823319072756;0.75
Nationale;Métro 6;2.362857958087621;48.83318160406702;0.25
Neuilly Porte Maillot;RER E;2.284217509613705;48.878347804048644;
Noisy-le-Grand - Mont d'Est;RER A;2.550026754158765;48.84088525041221;0.75
Odéon;Métro 10;2.340619126473996;48.8519477060765;0.75
Opéra;Métro 8;2.332135072925294;48.87059812248669;0.5
Ourcq;Métro 5;2.3866765356019912;48.88714990283661;1.0
Ozoir-la-Ferrière;RER E;2.690116190500944;48.77076716837013;0.25
Palais Royal - Musée du Louvre;Métro 7;2.337007354765684;48.862683997769665;0.75
Palaiseau - Villebon;RER B;2.237329249708309;48.7081489333421;0.25
Parc de Sceaux;RER B;2.309934691589042;48.769718949712896;0.25
Pasteur;Métro 6;2.312792651441268;48.842482718285865;0.75
Pelleport;Métro 3B;2.40160636134298;48.86842046799948;0.75
Père Lachaise;Métro 3;2.386157046298338;48.86296417435419;0.75
Pierrelaye;RER C;2.1545313948758564;49.01917957374756;0.25
Place des Fêtes;Métro 7B;2.392959616507311;48.87693859004261;0.75
Plaisance;Métro 13;2.313860489344306;48.83175036306747;0.75
Poissonnière;Métro 7;2.3487397513900734;48.87716484925024;0.5
Pont de Levallois - Bécon;Métro 3;2.28030375318625;48.89722831603318;0.5
Pont de Rungis Aéroport d'Orly;RER C;2.373209854795934;48.74834625868034;0.25
Ponthierry - Pringy;RER D;2.5445365646399507;48.535084951085466;0.25
Pontoise;RER C;2.0957859968423524;49.04673337596684;0.25
Porchefontaine;RER C;2.1522340489858127;48.79654475986442;0.25
Porte de Clignancourt;Métro 4;2.344624099102791;48.897525631278015;0.75
Porte de la Chapelle;Métro 12;2.359248542310361;48.89740242267042;0.5
Porte de Vanves;Métro 13;2.3053323866574735;48.827613464004294;0.5
Porte de Vincennes;Métro 1;2.4108049967015006;48.84700773108863;0.75
Porte Maillot;Métro 1;2.2825838473615496;48.87816265364455;0.5
Pré-Saint-Gervais;Métro 7B;2.398580770693528;48.8801595806643;0.75
Quai de la Rapée;Métro 5;2.365992890937552;48.84649085420337;0.25
Reuilly - Diderot;Métro 1;2.3858367760086865;48.84734982784612;0.5
Richelieu - Drouot;Métro 9;2.3385912215385414;48.872135870317955;0.75
Saint-Augustin;Métro 9;2.3210135978085997;48.87454661293485;0.75
Saint-Chéron;RER C;2.1249767315730463;48.550937745357075;0.25
Saint-Denis;RER D;2.345479004987329;48.93482889939617;0.25
Saint-Denis - Université;Métro 13;2.3644942905103172;48.945911458883856;0.75
Saint-François-Xavier;Métro 13;2.314407403528732;48.8512787565696;0.75
Saint-Georges;Métro 12;2.3375706403796697;48.87841659490173;0.5
Saint-Gratien;RER C;2.285777828585351;48.963658273529425;0.25
Saint-Lazare;Métro 14;2.3240258961246782;48.875660854671985;0.75
Savigny-sur-Orge;RER C;2.3523541804056833;48.67639468866699;0.25
Sevran Beaudottes;RER B;2.5247262164471342;48.94700236504643;0.75
Solférino;Métro 12;2.3230759642515415;48.85853194972854;0.75
Stade de France Saint-Denis;RER D;2.3504430479100207;48.91769737260247;0.25
Stalingrad;Métro 2;2.3657743705581695;48.88432054886986;0.25
Sully - Morland;Métro 7;2.3617517381263218;48.85120791254347;0.75
Trocadéro;Métro 6;2.287625377853519;48.86346147371448;0.75
Val d'Europe;RER A;2.7724268942340276;48.85484622851565;0.25
Vaneau;Métro 10;2.3213512423547358;48.84889457005888;0.75
Varenne;Métro 13;2.3149776470363417;48.85662420264694;0.75
Vaugirard;Métro 12;2.300977822126098;48.83953628376544;0.5
Villiers-sur-Marne - Le Plessis-Trévise;RER E;2.542644466674205;48.82324786783017;0.25
Vitry-sur-Seine;RER C;2.40269438767449;48.80028105254759;0.25
Wagram;Métro 3;2.304673087584434;48.8838463907272;0.75
